Freq(Hz),measure
5,5.2
6,6.1
7,7.15
8,8.05
9,9.1
10,9.85
15,14.8
20,19.75
25,24.9
30,30.1
40,39.5
50,50.5
70,70.0
80,80.65
90,90.22
110,106.5
130,130.1
150,148
170,162
190,184
210,201
230,218
250,235
300,210
