Ampl(V),measure
0.01,0.01
0.02,0.01
0.07,0.03
0.1,0.07
0.15,0.11
0.2,0.17
0.25,0.23
0.3,0.27
0.35,0.33
0.4,0.39
0.45,0.44
0.5,0.48
0.6,0.58
0.7,0.7
0.8,0.8
0.9,0.9
1,1.01
1.2,1.23
1.4,1.44
1.5,1.54
1.6,1.66
1.8,1.85
2,2.05
2.2,2.24
2.4,2.4
2.6,2.5
2.8,2.61
3,2.71
3.2,2.81
3.5,2.96
